****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.018	Loglikelihood: -39540.2	(delta): 137925
2 (EM) 	Elapsed: 0.015	Loglikelihood: -36287.7	(delta): 3252.47
3 (EM) 	Elapsed: 0.014	Loglikelihood: -35653.8	(delta): 633.908
4 (EM) 	Elapsed: 0.013	Loglikelihood: -35288.9	(delta): 364.941
5 (EM) 	Elapsed: 0.012	Loglikelihood: -35019.3	(delta): 269.586
Initial loglikelihood: -35019.3
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -34596.3	(delta): 422.949
2 (QN/EM) 	Elapsed: 0.019	Loglikelihood: -34210.5	(delta): 385.857
3 (QN/EM) 	Elapsed: 0.02	Loglikelihood: -31064.6	(delta): 3145.92
4 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -29952.1	(delta): 1112.42
5 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -28678.8	(delta): 1273.3
6 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -28021.8	(delta): 657.069
7 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -27465.1	(delta): 556.64
8 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -27136.5	(delta): 328.661
9 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -26675.3	(delta): 461.202
10 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -26352.8	(delta): 322.521
11 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25921.8	(delta): 430.94
12 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25778.1	(delta): 143.693
13 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25453.5	(delta): 324.668
14 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25353.6	(delta): 99.837
15 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25255.1	(delta): 98.4755
16 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25218.5	(delta): 36.6316
17 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25121.6	(delta): 96.9607
18 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25102.9	(delta): 18.6371
19 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -25084.1	(delta): 18.8615
20 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -24990.7	(delta): 93.3545
21 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24953	(delta): 37.7345
22 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24929.1	(delta): 23.8518
23 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24911.5	(delta): 17.6262
24 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24903.4	(delta): 8.08034
25 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -24899	(delta): 4.40896
26 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24894.4	(delta): 4.63405
27 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24881.4	(delta): 12.9422
28 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24871.5	(delta): 9.93095
29 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24860.5	(delta): 10.962
30 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24853.3	(delta): 7.18544
31 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -24850.4	(delta): 2.95069
32 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24844.7	(delta): 5.73553
33 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24836.6	(delta): 8.07349
34 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24828.3	(delta): 8.28262
35 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24822.9	(delta): 5.36516
36 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24815.7	(delta): 7.26031
37 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -24798.4	(delta): 17.2657
38 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -24786.9	(delta): 11.5181
