****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.025	Loglikelihood: -39622.7	(delta): 128663
2 (EM) 	Elapsed: 0.021	Loglikelihood: -35924.4	(delta): 3698.31
3 (EM) 	Elapsed: 0.018	Loglikelihood: -35070.7	(delta): 853.668
4 (EM) 	Elapsed: 0.016	Loglikelihood: -34522.6	(delta): 548.142
5 (EM) 	Elapsed: 0.015	Loglikelihood: -34092.7	(delta): 429.908
Initial loglikelihood: -34092.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.031	Loglikelihood: -33378.9	(delta): 713.815
2 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -32741.3	(delta): 637.545
3 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -29512.4	(delta): 3228.89
4 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -28829	(delta): 683.463
5 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -28281.2	(delta): 547.785
6 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25695	(delta): 2586.21
7 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -24578.8	(delta): 1116.21
8 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -24097.4	(delta): 481.41
9 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -23824.8	(delta): 272.606
10 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -23596.2	(delta): 228.584
11 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -23316.4	(delta): 279.771
12 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -22992.1	(delta): 324.315
13 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -22769.8	(delta): 222.329
14 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -22605.5	(delta): 164.298
15 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -22404.3	(delta): 201.127
