****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.047	Loglikelihood: -39995.9	(delta): 125484
2 (EM) 	Elapsed: 0.036	Loglikelihood: -35981.8	(delta): 4014.16
3 (EM) 	Elapsed: 0.031	Loglikelihood: -35162.3	(delta): 819.503
4 (EM) 	Elapsed: 0.026	Loglikelihood: -34622.8	(delta): 539.499
5 (EM) 	Elapsed: 0.023	Loglikelihood: -34158.4	(delta): 464.353
Initial loglikelihood: -34158.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.04	Loglikelihood: -33298.9	(delta): 859.584
2 (QN/EM) 	Elapsed: 0.04	Loglikelihood: -32449.3	(delta): 849.549
3 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -29017.2	(delta): 3432.08
4 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -28190.1	(delta): 827.143
5 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -27510	(delta): 680.059
6 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -24647.8	(delta): 2862.25
7 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -23710.7	(delta): 937.059
8 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -23410.8	(delta): 299.868
9 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -23173.7	(delta): 237.188
10 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -22774.1	(delta): 399.59
11 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -22427.2	(delta): 346.858
12 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -22007.8	(delta): 419.379
13 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -21778.9	(delta): 228.902
14 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -21367.2	(delta): 411.754
15 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -21224	(delta): 143.199
16 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -20979.6	(delta): 244.385
17 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20548.2	(delta): 431.346
18 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20451.6	(delta): 96.6653
19 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -20338.1	(delta): 113.439
20 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -20184.7	(delta): 153.447
21 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20100.6	(delta): 84.054
22 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -20046	(delta): 54.6273
23 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19930.4	(delta): 115.619
24 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19902.1	(delta): 28.3098
25 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19858.4	(delta): 43.686
26 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19815.1	(delta): 43.2553
27 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19800.3	(delta): 14.8822
28 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19739.3	(delta): 60.9441
29 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19710.5	(delta): 28.8382
30 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19696.5	(delta): 14.0195
31 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19665.6	(delta): 30.8446
32 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19654.8	(delta): 10.7825
33 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19646.5	(delta): 8.36025
34 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19617.2	(delta): 29.2648
35 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19583.4	(delta): 33.7659
36 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19564.9	(delta): 18.5476
37 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19555.3	(delta): 9.62289
38 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19548.5	(delta): 6.77679
39 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19532.6	(delta): 15.8856
40 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19521.1	(delta): 11.5277
41 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19513	(delta): 8.06202
42 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19501.8	(delta): 11.188
43 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19489.1	(delta): 12.7501
44 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19484.7	(delta): 4.37234
45 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19473.6	(delta): 11.1359
46 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19470.1	(delta): 3.48558
47 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19466.9	(delta): 3.14412
48 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19462.3	(delta): 4.62862
49 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19449.3	(delta): 13.0174
50 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19443.8	(delta): 5.54251
51 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19421.6	(delta): 22.1983
52 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19403.5	(delta): 18.0126
53 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19393.6	(delta): 9.91148
54 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19389.6	(delta): 4.06803
55 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19386.4	(delta): 3.13299
56 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19381	(delta): 5.39427
57 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19375.7	(delta): 5.28924
58 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19366.3	(delta): 9.48901
59 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19359.3	(delta): 6.99442
60 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19355.4	(delta): 3.8909
61 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19352.2	(delta): 3.14108
62 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19350.8	(delta): 1.38549
63 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19342.8	(delta): 8.0851
64 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19337.6	(delta): 5.15413
65 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19335.2	(delta): 2.38123
66 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19328.2	(delta): 7.06158
67 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19323.6	(delta): 4.58999
68 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19320	(delta): 3.60273
69 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19316.4	(delta): 3.51771
70 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19315.3	(delta): 1.19816
71 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19292.9	(delta): 22.3181
72 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19288.4	(delta): 4.5093
73 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19287.4	(delta): 1.0153
74 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19286.1	(delta): 1.2968
75 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19285.6	(delta): 0.497934
76 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19285.1	(delta): 0.514522
77 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19284.6	(delta): 0.518539
78 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19283.9	(delta): 0.727091
79 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19283.4	(delta): 0.43199
80 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19282.5	(delta): 0.960923
81 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19269.1	(delta): 13.4062
82 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19267.5	(delta): 1.5728
83 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19267	(delta): 0.460603
84 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19266.7	(delta): 0.273305
85 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19266.6	(delta): 0.147699
86 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19266.4	(delta): 0.153201
87 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19266.3	(delta): 0.147203
88 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19266.1	(delta): 0.168555
89 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19262.2	(delta): 3.8842
90 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19260.8	(delta): 1.40057
91 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19256.2	(delta): 4.66171
92 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19255.8	(delta): 0.434699
93 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19255.5	(delta): 0.213946
94 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19254.3	(delta): 1.2336
95 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19253.8	(delta): 0.541969
96 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19251.7	(delta): 2.07537
97 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19250.1	(delta): 1.56982
98 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19249.2	(delta): 0.916628
99 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19248.7	(delta): 0.525586
100 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19247	(delta): 1.71261
101 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19246.5	(delta): 0.471835
102 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19246	(delta): 0.533911
103 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19245.4	(delta): 0.547256
104 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19244.2	(delta): 1.16741
105 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19241.3	(delta): 2.95789
106 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19240.3	(delta): 0.967353
107 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19238	(delta): 2.30849
108 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19237.5	(delta): 0.527848
109 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19237.2	(delta): 0.282501
110 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19237	(delta): 0.185475
111 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19235.8	(delta): 1.25367
112 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19235.6	(delta): 0.140446
113 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19235.5	(delta): 0.0850727
114 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19235.3	(delta): 0.185084
115 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19235.1	(delta): 0.21186
116 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19235	(delta): 0.0961312
117 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19234.6	(delta): 0.423666
118 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19232.1	(delta): 2.5331
119 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19232	(delta): 0.0864351
120 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19232	(delta): 0.0261633
121 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19231.7	(delta): 0.316569
122 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19231.4	(delta): 0.262507
123 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19231.2	(delta): 0.233472
124 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19231	(delta): 0.147364
125 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19230.9	(delta): 0.0887509
126 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.9	(delta): 0.0193303
127 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.9	(delta): 0.0174945
128 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.9	(delta): 0.0171068
129 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19230.6	(delta): 0.225607
130 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.6	(delta): 0.0222214
131 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.5	(delta): 0.116128
132 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19230.4	(delta): 0.10238
133 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.4	(delta): 0.0320893
134 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19230.3	(delta): 0.0369318
135 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19230.3	(delta): 0.0592932
136 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.3	(delta): 0.0100237
137 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.3	(delta): 0.00972442
138 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.2	(delta): 0.00961835
139 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19230.2	(delta): 0.00954275
140 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19229.6	(delta): 0.668501
141 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19229.4	(delta): 0.151838
142 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19229.3	(delta): 0.118576
143 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19229.2	(delta): 0.0926056
144 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19229.1	(delta): 0.0590988
145 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19228.9	(delta): 0.250014
146 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19228.5	(delta): 0.351114
147 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19228.4	(delta): 0.157907
148 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19228.3	(delta): 0.121623
149 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19227.9	(delta): 0.384664
150 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19227.8	(delta): 0.0845061
151 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19227.7	(delta): 0.0856574
152 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19227.6	(delta): 0.0802179
153 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19227.2	(delta): 0.43521
154 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19227.2	(delta): 0.0414569
155 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19227.1	(delta): 0.0428397
156 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19226.8	(delta): 0.321555
157 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19226.7	(delta): 0.0953375
158 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19226.5	(delta): 0.218408
159 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19226.2	(delta): 0.277223
160 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19226	(delta): 0.151079
161 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19225.9	(delta): 0.108681
162 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19225.4	(delta): 0.576649
163 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19225.3	(delta): 0.0795764
164 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19225.2	(delta): 0.0613374
165 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19224.9	(delta): 0.350222
166 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19224.7	(delta): 0.205218
167 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19224.1	(delta): 0.558567
168 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19223.9	(delta): 0.236921
169 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19223.7	(delta): 0.21323
170 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19223.6	(delta): 0.0698703
171 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19223.5	(delta): 0.0880704
172 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19223.1	(delta): 0.345821
173 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19223.1	(delta): 0.0598281
174 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19223.1	(delta): 0.0258116
175 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19223	(delta): 0.0320917
176 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19222.9	(delta): 0.120825
177 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.7	(delta): 0.164746
178 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.7	(delta): 0.0322829
179 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.7	(delta): 0.0333067
180 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19222.6	(delta): 0.0539795
181 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.6	(delta): 0.0432867
182 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.5	(delta): 0.0459432
183 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19222.2	(delta): 0.291556
184 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.2	(delta): 0.0690084
185 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19222.1	(delta): 0.0580801
186 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19221.8	(delta): 0.355438
187 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19221.7	(delta): 0.10989
188 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19221.6	(delta): 0.0504536
189 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19221.5	(delta): 0.0575125
190 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221.5	(delta): 0.0252166
191 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221.5	(delta): 0.0354523
192 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221.4	(delta): 0.050234
193 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221.4	(delta): 0.0693495
194 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19221.3	(delta): 0.0954626
195 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221.1	(delta): 0.123371
196 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19221	(delta): 0.149182
197 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19220.8	(delta): 0.167748
198 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19220.7	(delta): 0.17939
199 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19220.5	(delta): 0.188061
200 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19220.3	(delta): 0.199385
201 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19220	(delta): 0.217712
202 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19219.3	(delta): 0.764318
203 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19217.8	(delta): 1.48664
204 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19217.1	(delta): 0.656543
205 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19215.3	(delta): 1.83711
206 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19214.5	(delta): 0.778252
207 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19213.8	(delta): 0.70773
208 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19213.1	(delta): 0.698043
209 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19209.5	(delta): 3.62552
210 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19208.3	(delta): 1.19091
211 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19207.6	(delta): 0.734977
212 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19206.1	(delta): 1.4337
213 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19204.5	(delta): 1.62591
214 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19202.3	(delta): 2.17564
215 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19200	(delta): 2.36583
216 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19199.4	(delta): 0.5783
217 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19198.3	(delta): 1.03618
218 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19198	(delta): 0.336624
219 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19197.6	(delta): 0.451591
220 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19197.3	(delta): 0.269395
221 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19196.9	(delta): 0.385417
222 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19196.3	(delta): 0.604149
223 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19195.4	(delta): 0.895931
224 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19194.3	(delta): 1.14293
225 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19192.3	(delta): 1.92609
226 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19187.8	(delta): 4.53476
227 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19186.8	(delta): 0.964518
228 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19185.4	(delta): 1.40792
229 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19184.9	(delta): 0.563376
230 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19181.8	(delta): 3.07925
231 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19179.4	(delta): 2.34462
232 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19177.7	(delta): 1.74794
233 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19176.7	(delta): 1.0138
234 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -19176.3	(delta): 0.362183
