****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.017	Loglikelihood: -39619.8	(delta): 130818
2 (EM) 	Elapsed: 0.015	Loglikelihood: -36066.7	(delta): 3553.08
3 (EM) 	Elapsed: 0.014	Loglikelihood: -35283.8	(delta): 782.847
4 (EM) 	Elapsed: 0.014	Loglikelihood: -34816.7	(delta): 467.152
5 (EM) 	Elapsed: 0.013	Loglikelihood: -34458.7	(delta): 358.038
Initial loglikelihood: -34458.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -33896.3	(delta): 562.384
2 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -33415.2	(delta): 481.104
3 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -31179.5	(delta): 2235.63
4 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -30456.3	(delta): 723.256
5 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -29506.3	(delta): 950.003
6 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27712.7	(delta): 1793.59
7 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -27267	(delta): 445.708
8 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -26345.8	(delta): 921.166
9 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -25984.6	(delta): 361.184
10 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -25564.4	(delta): 420.184
11 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -25399.1	(delta): 165.3
12 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -25265.1	(delta): 134.063
13 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -25090.2	(delta): 174.868
14 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -24980.2	(delta): 110.005
15 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -24539.8	(delta): 440.408
16 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -24299.5	(delta): 240.281
17 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -24047.5	(delta): 251.984
18 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23959.5	(delta): 87.9928
19 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23873.5	(delta): 86.0802
20 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23800	(delta): 73.4708
21 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23669.8	(delta): 130.149
22 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23626.1	(delta): 43.7465
23 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23448.4	(delta): 177.731
24 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23413.9	(delta): 34.4302
25 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23332.6	(delta): 81.3681
26 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23316.4	(delta): 16.2031
27 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23275.5	(delta): 40.8399
28 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23226.7	(delta): 48.7972
29 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23208.1	(delta): 18.5885
30 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23178.1	(delta): 30.049
31 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23158.6	(delta): 19.4972
32 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23130.8	(delta): 27.8318
33 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23115.4	(delta): 15.4009
34 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23099.4	(delta): 15.984
35 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23070.8	(delta): 28.622
36 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23047.6	(delta): 23.1941
37 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -23001.1	(delta): 46.4808
38 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22958	(delta): 43.1233
39 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22938.5	(delta): 19.4211
40 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22899.1	(delta): 39.4749
41 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22881	(delta): 18.0174
42 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22865.4	(delta): 15.6083
43 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22857.6	(delta): 7.86108
44 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22832	(delta): 25.6067
45 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22829.7	(delta): 2.28124
46 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22822.4	(delta): 7.2496
47 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22820.9	(delta): 1.55124
48 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22819.5	(delta): 1.36421
49 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22816.7	(delta): 2.80921
50 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -22815.4	(delta): 1.28716
51 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22814.2	(delta): 1.26281
