****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.031	Loglikelihood: -39821.2	(delta): 126271
2 (EM) 	Elapsed: 0.025	Loglikelihood: -35983.2	(delta): 3838.06
3 (EM) 	Elapsed: 0.022	Loglikelihood: -35155.2	(delta): 827.998
4 (EM) 	Elapsed: 0.021	Loglikelihood: -34636	(delta): 519.157
5 (EM) 	Elapsed: 0.019	Loglikelihood: -34214	(delta): 422.045
Initial loglikelihood: -34214
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -33464.9	(delta): 749.053
2 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -32726.2	(delta): 738.737
3 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -29666	(delta): 3060.17
4 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -28854	(delta): 812.071
5 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -28082.9	(delta): 771.07
6 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -24731.5	(delta): 3351.38
7 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -23919.2	(delta): 812.311
8 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -23383.7	(delta): 535.548
9 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -23050.7	(delta): 332.952
10 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -22795.8	(delta): 254.871
11 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -22436.6	(delta): 359.275
12 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -22161.4	(delta): 275.18
13 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21917.6	(delta): 243.751
14 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21754.6	(delta): 163.045
15 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21528	(delta): 226.564
16 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21389.8	(delta): 138.218
17 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21239.7	(delta): 150.105
18 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21164.7	(delta): 75.0261
19 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -21119.2	(delta): 45.443
20 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -20984.8	(delta): 134.454
21 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -20851.4	(delta): 133.327
22 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -20737.2	(delta): 114.242
23 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -20653.8	(delta): 83.402
24 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -20591.5	(delta): 62.2787
25 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -20549.6	(delta): 41.902
26 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -20496.2	(delta): 53.4484
