****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
59 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12393.8	(delta): 1.10414
60 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12390.5	(delta): 3.35931
61 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12388	(delta): 2.45069
62 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12385.7	(delta): 2.31925
63 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12384.2	(delta): 1.44647
64 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12378.4	(delta): 5.81149
65 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12374.8	(delta): 3.65856
66 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12372.2	(delta): 2.61812
67 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12370.9	(delta): 1.22965
68 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12369.8	(delta): 1.10714
69 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12369.4	(delta): 0.41862
70 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12368.5	(delta): 0.940198
71 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12364.6	(delta): 3.82992
72 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12362.9	(delta): 1.69988
73 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12361.7	(delta): 1.27151
74 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12360.7	(delta): 0.953575
75 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12360.4	(delta): 0.287687
76 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12360.1	(delta): 0.315869
77 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12358.7	(delta): 1.43338
78 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12357.5	(delta): 1.1216
79 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12357.2	(delta): 0.301103
80 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12356.2	(delta): 1.07471
81 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12353.4	(delta): 2.73319
82 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12352.7	(delta): 0.776735
83 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12351.1	(delta): 1.52306
84 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12350.6	(delta): 0.513797
85 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12350.4	(delta): 0.235412
86 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12350.1	(delta): 0.244706
87 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12337	(delta): 13.1292
88 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12326.4	(delta): 10.6274
89 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12323.9	(delta): 2.48487
90 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12321.1	(delta): 2.84243
91 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12319.5	(delta): 1.54663
92 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12318.3	(delta): 1.2103
93 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12317.1	(delta): 1.16165
94 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12314.9	(delta): 2.21684
95 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12313.5	(delta): 1.39724
96 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12311.3	(delta): 2.17314
97 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12309.7	(delta): 1.66617
98 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12306	(delta): 3.70685
99 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12304.4	(delta): 1.53435
100 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12301.2	(delta): 3.24592
101 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -12300.2	(delta): 0.960819
102 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12296.4	(delta): 3.86804
103 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12295	(delta): 1.38341
104 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12291.9	(delta): 3.11738
105 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12288.3	(delta): 3.54917
106 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12287.7	(delta): 0.632748
107 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12286.9	(delta): 0.809638
108 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12285.7	(delta): 1.1885
109 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12284.6	(delta): 1.10809
110 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12284.2	(delta): 0.397884
111 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12283.7	(delta): 0.461863
112 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.9	(delta): 0.837807
113 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.6	(delta): 0.272665
114 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.6	(delta): 0.0550459
115 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.5	(delta): 0.0625417
116 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.4	(delta): 0.0737784
117 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.3	(delta): 0.0869073
118 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.2	(delta): 0.0949961
119 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12282.1	(delta): 0.107728
120 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12282	(delta): 0.120467
121 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12281.9	(delta): 0.131606
122 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12281.7	(delta): 0.141895
123 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12281.6	(delta): 0.153247
124 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12281.4	(delta): 0.166367
125 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12281.2	(delta): 0.180357
126 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12279.8	(delta): 1.40853
127 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12279.5	(delta): 0.333148
128 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12279	(delta): 0.489183
129 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12278.3	(delta): 0.727612
130 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12277.6	(delta): 0.70001
131 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12276.4	(delta): 1.12888
132 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12275.8	(delta): 0.608262
133 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12275	(delta): 0.835742
134 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12274.8	(delta): 0.187358
135 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12274.3	(delta): 0.486952
136 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.8	(delta): 0.521267
137 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.6	(delta): 0.161587
138 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.5	(delta): 0.129033
139 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.4	(delta): 0.103748
140 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.4	(delta): 0.0359295
141 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.3	(delta): 0.0404911
142 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12273.3	(delta): 0.0451142
143 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12272.8	(delta): 0.513
144 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12272.6	(delta): 0.150102
145 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12272.5	(delta): 0.126933
146 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12272.4	(delta): 0.149479
147 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12272.2	(delta): 0.183692
148 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12271.9	(delta): 0.227597
149 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12271.6	(delta): 0.297281
150 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12271.3	(delta): 0.35891
151 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12270.9	(delta): 0.43018
152 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12270.3	(delta): 0.506473
