****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
59 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13381.1	(delta): 5.41218
60 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13376.1	(delta): 4.90595
61 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13369.9	(delta): 6.29294
62 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13366.4	(delta): 3.48575
63 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13362.9	(delta): 3.48408
64 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13360.3	(delta): 2.55949
65 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13358.1	(delta): 2.19696
66 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13356.2	(delta): 1.88746
67 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13354.8	(delta): 1.4759
68 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13347.3	(delta): 7.49767
69 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13343.3	(delta): 4.0031
70 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13338.7	(delta): 4.61464
71 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13334.6	(delta): 4.09113
72 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13332.8	(delta): 1.73044
73 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13332	(delta): 0.792867
74 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13330.7	(delta): 1.36822
75 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13328.7	(delta): 1.96914
76 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13326.4	(delta): 2.28981
77 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13325.1	(delta): 1.33005
78 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13323.6	(delta): 1.43159
79 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13323.1	(delta): 0.544766
80 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13322.8	(delta): 0.336974
81 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13322.5	(delta): 0.296945
82 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13322.2	(delta): 0.292016
83 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13321.9	(delta): 0.291495
84 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13321.6	(delta): 0.292918
85 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13321.3	(delta): 0.296033
86 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13320.8	(delta): 0.453346
87 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13318.9	(delta): 1.97212
88 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13317.7	(delta): 1.15368
89 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13314.1	(delta): 3.65382
90 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13313	(delta): 1.11276
91 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13312.4	(delta): 0.560694
92 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13312	(delta): 0.419631
93 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13311.4	(delta): 0.553423
94 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13310.6	(delta): 0.827306
95 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13309.3	(delta): 1.31492
96 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13307.4	(delta): 1.88813
97 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13303.8	(delta): 3.63423
98 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13301.1	(delta): 2.66051
99 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13298.8	(delta): 2.31431
100 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13291.4	(delta): 7.34097
101 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13286.3	(delta): 5.18326
102 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13281.2	(delta): 5.07131
103 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13278	(delta): 3.20242
104 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13275.9	(delta): 2.07709
105 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13275	(delta): 0.93515
106 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13274.1	(delta): 0.836915
107 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13273.4	(delta): 0.714169
108 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13272.5	(delta): 0.927182
109 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13270.9	(delta): 1.60316
110 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13269.4	(delta): 1.48004
111 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13267	(delta): 2.44824
112 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13264.2	(delta): 2.79703
113 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13263.4	(delta): 0.755829
114 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13259	(delta): 4.43432
115 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.9	(delta): 0.0728388
116 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.8	(delta): 0.0478817
117 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.3	(delta): 0.58395
118 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.2	(delta): 0.022318
119 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.2	(delta): 0.0892345
120 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.1	(delta): 0.0124945
121 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13258.1	(delta): 0.0610923
122 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.9	(delta): 0.176549
123 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.9	(delta): 0.0202013
124 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.9	(delta): 0.0290923
125 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.00650458
126 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.00665757
127 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.00680387
128 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.0162125
129 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.00817131
130 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.8	(delta): 0.00776914
131 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.7	(delta): 0.0642282
132 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.6	(delta): 0.121848
133 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.6	(delta): 0.0115016
134 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.6	(delta): 0.0417137
135 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.4	(delta): 0.132405
136 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.2	(delta): 0.206337
137 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.2	(delta): 0.0572397
138 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.1	(delta): 0.0217024
139 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.1	(delta): 0.0446169
140 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.1	(delta): 0.0191305
141 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257.1	(delta): 0.0281785
142 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13257	(delta): 0.0420844
143 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13257	(delta): 0.0613647
144 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.9	(delta): 0.0853519
145 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.8	(delta): 0.111348
146 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.6	(delta): 0.135251
147 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.5	(delta): 0.153676
148 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.3	(delta): 0.16545
149 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256.1	(delta): 0.170974
150 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13256	(delta): 0.171116
151 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13255.8	(delta): 0.167114
152 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13255.6	(delta): 0.160733
153 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13255.5	(delta): 0.154242
154 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13255.3	(delta): 0.150664
155 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13255.2	(delta): 0.15436
156 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13255	(delta): 0.174276
157 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13254.4	(delta): 0.549355
158 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13254.3	(delta): 0.103895
159 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13254.2	(delta): 0.167889
160 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13253.7	(delta): 0.459928
161 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13253	(delta): 0.682972
162 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13251.8	(delta): 1.26597
163 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13250.3	(delta): 1.46904
164 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13249.2	(delta): 1.13589
165 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13248.1	(delta): 1.06771
166 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13245.6	(delta): 2.53013
167 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13243.9	(delta): 1.70835
168 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13242.8	(delta): 1.02025
169 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13241.3	(delta): 1.51355
170 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13240.8	(delta): 0.478361
171 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13239.6	(delta): 1.27918
172 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13234.3	(delta): 5.23766
173 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13231.7	(delta): 2.62517
174 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13230.2	(delta): 1.48682
175 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13229.8	(delta): 0.386341
176 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13229.6	(delta): 0.273324
177 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13229.2	(delta): 0.361313
178 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13228.7	(delta): 0.503957
179 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13227.4	(delta): 1.25072
180 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13227.1	(delta): 0.324754
181 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13226.8	(delta): 0.316406
182 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13226.7	(delta): 0.137904
183 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13225.4	(delta): 1.2261
184 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.9	(delta): 0.566753
185 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.8	(delta): 0.019193
186 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.8	(delta): 0.0208849
187 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.8	(delta): 0.0704505
188 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.8	(delta): 0.000966558
189 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.8	(delta): 0.0033528
190 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.0035939
191 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.010586
192 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.0260742
193 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.00730635
194 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.00125813
195 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.00560201
196 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.0182907
197 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.7	(delta): 0.0202463
198 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.6	(delta): 0.00891592
199 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.6	(delta): 0.015783
200 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.6	(delta): 0.0341719
201 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.6	(delta): 0.0292368
202 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.6	(delta): 0.0176579
203 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.5	(delta): 0.0193945
204 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.5	(delta): 0.0563098
205 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.4	(delta): 0.0586778
206 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.4	(delta): 0.0502018
207 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.3	(delta): 0.0477673
208 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224.2	(delta): 0.0964322
209 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13224	(delta): 0.191847
210 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13223.8	(delta): 0.201672
211 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13223.7	(delta): 0.121546
212 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13223.6	(delta): 0.136757
213 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13223.5	(delta): 0.0294578
214 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13221.2	(delta): 2.3475
215 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13220.8	(delta): 0.351954
216 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13218.1	(delta): 2.7737
217 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13217	(delta): 1.03341
218 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13216.6	(delta): 0.401508
219 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13216.3	(delta): 0.36561
