****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
59 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11673.1	(delta): 0.156619
60 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11672.6	(delta): 0.456502
61 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11672.5	(delta): 0.0973558
62 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11672.1	(delta): 0.406159
63 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11672	(delta): 0.100139
64 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11671.9	(delta): 0.10536
65 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11671.8	(delta): 0.117852
66 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11671.7	(delta): 0.135461
67 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11671.5	(delta): 0.162059
68 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11671.3	(delta): 0.2188
69 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11671.1	(delta): 0.19231
70 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11670.8	(delta): 0.264516
71 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11670.4	(delta): 0.380428
72 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11669.9	(delta): 0.586283
73 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11660.9	(delta): 8.91541
74 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11658.9	(delta): 2.05692
75 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11658	(delta): 0.88347
76 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11657.4	(delta): 0.580609
77 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11656.9	(delta): 0.550484
78 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11655.9	(delta): 1.02485
79 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11654.5	(delta): 1.31459
80 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11654	(delta): 0.567553
81 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11653.7	(delta): 0.24875
