#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.defunct" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.defunct" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.defunct" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.defunct" spec="snap.Data">
#                    <taxonset id="alb" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_albicilla_22611" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="chlor" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_chloris_12584" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="col" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_colonus_2003089" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="leuc" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_leucopygius_32019" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="sanct" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_sanctus_25117" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="saur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_saurophagus_27804" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="sord" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_sordidus_B33720" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="tris" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_tristrami_27752" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.defunct" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.defunct" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.defunct" id="treeLikelihood.defunct" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.defunct">
#            <siteModel id="MutationSiteModel.defunct" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	theta11	theta12	theta13	theta14	TreeHeightLogger
11000	-2121.760157544788	-1383.8545755337923	-737.9055820109958	9.430610515494873	0.5279936068834535	0.08704460479236774	0.12440714410788571	0.08613126850093117	0.13228302201795597	0.1502129079303578	0.11537386803320346	0.08288511954462703	0.07306115101294187	0.037233211309653534	0.09314198242556367	0.08701268552970796	0.14882604532752017	0.13111654637159054	0.0461499683328802	0.1698817322958652	0.045207990739587665
12000	-2122.1255470623887	-1379.5079703236422	-742.6175767387464	9.590557094801019	0.5275010648294567	0.12145838716936752	0.13478172583230663	0.06483052098329037	0.13435533816243334	0.10650535770865303	0.07008611300984002	0.08813722179255858	0.14924075600635853	0.047157670249605835	0.048102371795180524	0.055680341574355786	0.12026462289554249	0.13193325912246875	0.08463640252566042	0.13237861477410104	0.07834518630646864
13000	-2125.5389241990583	-1383.8757433078852	-741.6631808911732	9.25459874974402	0.5285564201337394	0.07266949059345326	0.06957715064659536	0.07704624332690019	0.12801329046735385	0.1700091937663394	0.12270005916317489	0.06105090768413262	0.11423110438319262	0.03764329096890673	0.13991935755886878	0.09770785556989355	0.09783004130203111	0.11351464311133781	0.16003666871404493	0.11343262344464301	0.13231071280622442
14000	-2123.941495091827	-1386.1445700797651	-737.796925012062	6.907968931091863	0.5390139219912544	0.055634831550811364	0.12709849927258937	0.08713814305960077	0.18719802947792885	0.17754519137613797	0.09193475621004227	0.09472753779095537	0.11913753398893263	0.055396114886304644	0.07926985587741511	0.1268952883902844	0.13423851718891455	0.17104971118013598	0.11275813259463914	0.13315208841639284	0.1279819819922967
15000	-2128.9744756728105	-1379.9936033351012	-748.9808723377096	9.313601586367948	0.5283652485933419	0.04124884347675024	0.10667522254682835	0.09691588114318297	0.1563708418288762	0.16302658201490358	0.03764001520387565	0.06378430410535348	0.09789710630482049	0.12179503466107985	0.05482378461488124	0.13457035366032305	0.1114503470158894	0.08292061792209192	0.06486218447555062	0.055338436554742264	0.1230556769000346
16000	-2129.2360401566743	-1382.8645059516996	-746.3715342049748	10.710093266358982	0.5244855745660737	0.04188724996869053	0.1272839188394405	0.11384165654211326	0.09766210368797039	0.16847947765855095	0.14716342363902477	0.15510597006247417	0.07044245178423585	0.028176745758367868	0.062109016967358203	0.07848357908625862	0.07945477240974361	0.0951201256408248	0.07891620138075581	0.13402844973356856	0.07070707309398705
17000	-2118.0806832077596	-1385.9822432641404	-732.0984399436194	11.400315089448405	0.522935116824467	0.08864993622734792	0.1178428436294611	0.0790562522317748	0.11690753981304823	0.15635217192986997	0.1316284888211294	0.10094094382963172	0.12521654652183595	0.07684221140711273	0.07812839384632715	0.12192395479483055	0.12301761906850106	0.058621821734693116	0.08331812966313888	0.13930030286425568	0.06797037604758213
18000	-2126.296257853938	-1380.5981111179992	-745.698146735939	13.47388835013817	0.519269473673044	0.13204676628988857	0.09794228423895107	0.08569629155335916	0.10830261433217006	0.12336457983287505	0.08997286191862902	0.10881356055505767	0.08202476079797782	0.029080770350175686	0.04413888389564987	0.11260543427901701	0.10204227934809923	0.09094129260710246	0.04173445902556939	0.08088077643143123	0.06880647512990763
19000	-2126.076083117477	-1376.366932303151	-749.709150814326	11.30686100584154	0.5231334519676772	0.10739778439396878	0.04921085623363226	0.05288286524966459	0.11602172822027136	0.13887864668578073	0.08329633900831128	0.08042808707204335	0.08823393730389661	0.02974615412934155	0.07587805478731928	0.11278348147375021	0.10762457806048294	0.1782189875829208	0.031189732408357415	0.16814733106138394	0.046152207159610006
20000	-2117.152547878571	-1383.6359908233449	-733.5165570552264	8.416410613501327	0.5315799687769642	0.08768638557222293	0.13760852229313975	0.1240534677518687	0.14392480520161552	0.09463802037666061	0.1678934111920518	0.09387023467718024	0.1198728358128898	0.0480409253076825	0.10380493272592668	0.06327924876144919	0.10678493852971528	0.1147164964490955	0.09891112220295814	0.15493887267883052	0.0712733731027493
21000	-2131.1189546187534	-1384.854708006069	-746.2642466126846	8.12835949034975	0.5327724460699921	0.11654500161850401	0.15909965283729408	0.12007973184628401	0.13830793089659288	0.17820945109969294	0.07432959807655017	0.06945175428868826	0.10964733417603081	0.04005131152331694	0.13086216709782764	0.08389287142196579	0.11257364855414023	0.1589648887270542	0.06127489522771571	0.09956430997785033	0.1409295140753574
22000	-2120.2187608631402	-1386.6509860723886	-733.5677747907517	9.859140044077016	0.5267118558780637	0.07255542749780951	0.12769045848112592	0.13234397635480294	0.13095498218007362	0.1476147031268464	0.09293113653204112	0.09477934365185943	0.14036117639051804	0.07646867504819418	0.07773870516294905	0.08517043853044816	0.08184218152766838	0.2006839637242077	0.08363401363281577	0.10977458708047019	0.08617630636044403
23000	-2115.2591561520476	-1374.9162478030787	-740.3429083489688	11.85762150503163	0.5220116509331857	0.09141542840858034	0.10244355420894155	0.06848751864266647	0.11096632281641805	0.13185606430106886	0.09420650736872246	0.104957214338053	0.08514527642426795	0.03368472046309029	0.06391188971477034	0.07687290270797788	0.07187872584648107	0.11292559109556971	0.05671194093039229	0.12127883662350081	0.06942386401747665
24000	-2119.0144993456956	-1375.0414747503999	-743.9730245952957	10.354492259895514	0.5253691406321781	0.06492724261858171	0.10542168712042223	0.08236287634296995	0.12609913468678305	0.10309193805708433	0.09190039327510463	0.07383328367059908	0.0900637893065887	0.027139528982017647	0.07624289370120853	0.13744609438065572	0.14255047615267333	0.042698462154897435	0.09342044982398902	0.11871166932664519	0.07341909638711949
25000	-2127.551468181952	-1375.0428670039705	-752.5086011779814	8.467652038508536	0.5313768722318347	0.0812668428138181	0.0973354082851178	0.07009508926139942	0.1988518940447516	0.18778410474428867	0.09907279296360463	0.08630477145760086	0.08421629392093496	0.018310058439810668	0.12065133634678536	0.039599295876663845	0.08679094366579541	0.13317533793517328	0.12373997837223867	0.09074398080974337	0.11282994064851637
26000	-2115.2426461291534	-1378.239246849461	-737.0033992796924	8.08383105418074	0.5329648693666749	0.10621107267283204	0.10555076034090682	0.073879910544287	0.14219900013810452	0.1768271050044229	0.07536141587803617	0.10874233331364747	0.1239750132251449	0.057352891823630334	0.08067331175802832	0.11806070041968346	0.17122766635182726	0.06428698842389442	0.08130075473926074	0.10938155808395314	0.11682915449180546
