****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 44x1167
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.026	Loglikelihood: -21525.4	(delta): 47373.5
2 (EM) 	Elapsed: 0.024	Loglikelihood: -19587.8	(delta): 1937.56
3 (EM) 	Elapsed: 0.022	Loglikelihood: -19106.3	(delta): 481.536
4 (EM) 	Elapsed: 0.021	Loglikelihood: -18796.5	(delta): 309.8
5 (EM) 	Elapsed: 0.02	Loglikelihood: -18548.3	(delta): 248.165
Initial loglikelihood: -18548.3
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18126.6	(delta): 421.727
2 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -17734.4	(delta): 392.244
3 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -16032.1	(delta): 1702.24
4 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -15657.6	(delta): 374.524
5 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -14950.3	(delta): 707.337
6 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -14523.1	(delta): 427.194
7 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -14027	(delta): 496.025
8 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13833.9	(delta): 193.138
9 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13645.6	(delta): 188.263
10 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13558.6	(delta): 87.0678
11 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13446.8	(delta): 111.783
12 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13366.3	(delta): 80.4528
13 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13308.9	(delta): 57.4756
14 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13259.6	(delta): 49.2778
15 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13162.4	(delta): 97.1411
16 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -13116.1	(delta): 46.3245
17 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -13060.3	(delta): 55.79
18 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12978.1	(delta): 82.2063
19 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12937.5	(delta): 40.6246
20 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12865.7	(delta): 71.8374
21 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12833.3	(delta): 32.3992
22 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12780.9	(delta): 52.393
23 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12753	(delta): 27.8282
24 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12724.6	(delta): 28.4797
25 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12708.4	(delta): 16.1528
26 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -12682.1	(delta): 26.3277
27 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12653.1	(delta): 28.9572
28 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12632.7	(delta): 20.4054
29 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12612	(delta): 20.6644
30 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12602.8	(delta): 9.28851
31 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12581.8	(delta): 20.9317
32 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -12547	(delta): 34.8158
33 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12529.8	(delta): 17.2428
34 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12515.8	(delta): 13.9284
35 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12505.5	(delta): 10.3616
36 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12488.5	(delta): 16.9564
37 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -12480	(delta): 8.51488
