****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 44x1167
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.026	Loglikelihood: -21601.1	(delta): 47679.6
2 (EM) 	Elapsed: 0.025	Loglikelihood: -19617.5	(delta): 1983.62
3 (EM) 	Elapsed: 0.023	Loglikelihood: -19084.1	(delta): 533.372
4 (EM) 	Elapsed: 0.022	Loglikelihood: -18710.7	(delta): 373.438
5 (EM) 	Elapsed: 0.02	Loglikelihood: -18386.4	(delta): 324.256
Initial loglikelihood: -18386.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -17792.3	(delta): 594.142
2 (QN/EM) 	Elapsed: 0.032	Loglikelihood: -17246.7	(delta): 545.582
3 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -15714.6	(delta): 1532.13
4 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -15390.6	(delta): 323.975
5 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -15122.4	(delta): 268.175
6 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -14225.3	(delta): 897.119
7 (QN/EM) 	Elapsed: 0.034	Loglikelihood: -14008.2	(delta): 217.053
8 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13793.2	(delta): 215.079
9 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13711.6	(delta): 81.532
10 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13642	(delta): 69.6797
11 (QN/EM) 	Elapsed: 0.032	Loglikelihood: -13596.4	(delta): 45.5299
12 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13461.7	(delta): 134.738
13 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13343.1	(delta): 118.6
14 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13273.6	(delta): 69.4945
15 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13200.8	(delta): 72.8019
16 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13147.4	(delta): 53.4078
17 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13105.1	(delta): 42.2538
18 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -13062.3	(delta): 42.8482
19 (QN/EM) 	Elapsed: 0.032	Loglikelihood: -13021.7	(delta): 40.5402
20 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -12984.9	(delta): 36.892
21 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -12945.9	(delta): 38.9691
22 (QN/EM) 	Elapsed: 0.033	Loglikelihood: -12930.2	(delta): 15.6837
